,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
23,16-25,male,majority,0-9y,none,poverty,0.34833133094379165,False,before 2015,False,False,17000.0,sedan,0,0,0,False
24,65+,male,majority,30y+,high school,upper class,0.5006306604427161,True,before 2015,True,True,7000.0,sedan,13,2,3,False
25,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,True,before 2015,True,False,14000.0,sports car,0,0,0,False
26,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,True,before 2015,False,False,13000.0,sedan,1,1,0,False
27,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,True,before 2015,True,False,15000.0,sedan,0,0,1,False
28,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,False,after 2015,False,False,17000.0,sedan,0,0,1,False
29,65+,male,majority,0-9y,university,upper class,0.649820471216227,True,after 2015,True,True,9000.0,sedan,0,0,0,True
30,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,True,after 2015,True,True,7000.0,sedan,2,0,1,False
31,65+,female,majority,30y+,university,upper class,0.7012683240604196,True,before 2015,True,True,10000.0,sedan,3,1,1,False
32,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,True,before 2015,True,True,9000.0,sedan,0,0,0,False
33,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,True,before 2015,False,True,10000.0,sedan,0,0,0,True
34,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,True,before 2015,True,True,11000.0,sedan,0,0,0,True
35,16-25,male,majority,0-9y,university,working class,0.5049948526440377,False,after 2015,False,False,8000.0,sedan,0,0,0,True
36,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,True,before 2015,False,True,17000.0,sedan,3,0,2,False
37,40-64,female,majority,10-19y,none,middle class,0.5236585383213972,True,before 2015,True,True,11000.0,sedan,2,0,1,False
38,65+,male,majority,30y+,university,upper class,0.613826977680088,False,after 2015,False,True,12000.0,sports car,6,0,5,False
39,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,True,before 2015,False,True,14000.0,sedan,1,0,1,False
40,65+,male,majority,30y+,high school,upper class,0.7054542902137054,True,before 2015,True,True,10000.0,sedan,5,1,3,False
41,40-64,male,majority,20-29y,university,upper class,0.6595254905875941,True,after 2015,False,True,16000.0,sedan,4,0,2,False
42,40-64,male,majority,20-29y,university,upper class,0.5873836120460223,False,after 2015,True,True,9000.0,sedan,10,2,0,False
43,16-25,male,majority,0-9y,none,poverty,0.4064824253974476,False,before 2015,False,False,16000.0,sedan,0,0,0,True
44,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,False,before 2015,False,True,13000.0,sedan,1,0,0,True
45,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,False,before 2015,False,False,14000.0,sports car,3,0,4,False
46,65+,male,majority,20-29y,high school,upper class,0.6256257210210231,True,after 2015,True,True,7000.0,sedan,7,0,5,False
47,40-64,female,majority,20-29y,university,upper class,0.613826977680088,True,after 2015,True,True,11000.0,sedan,3,0,2,False
48,26-39,female,minority,10-19y,university,working class,0.3931531299744003,True,before 2015,False,True,12000.0,sedan,1,0,0,False
49,26-39,female,minority,10-19y,none,working class,0.5039497598168121,False,before 2015,False,True,14000.0,sedan,1,0,0,False
50,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,True,before 2015,True,False,14000.0,sedan,3,0,2,False
51,26-39,female,majority,0-9y,high school,working class,0.5241464657501199,False,before 2015,False,False,17000.0,sedan,0,0,0,True
52,65+,male,majority,20-29y,university,upper class,0.5531007570628673,False,after 2015,True,True,7000.0,sedan,9,0,1,False
53,16-25,female,majority,0-9y,university,working class,0.4475509489142775,False,before 2015,True,True,8000.0,sedan,0,0,0,True
54,16-25,female,majority,0-9y,none,working class,0.5107331365064207,True,before 2015,True,True,7000.0,sedan,0,0,0,True
55,26-39,female,majority,10-19y,high school,middle class,0.5236585383213972,True,after 2015,True,False,15000.0,sedan,0,0,0,False
56,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,False,before 2015,False,False,9000.0,sedan,0,0,0,True
57,40-64,female,majority,20-29y,university,middle class,0.3875569443647317,False,after 2015,False,True,12000.0,sedan,2,0,1,False
58,40-64,female,majority,20-29y,university,middle class,0.5701572256616224,True,after 2015,True,True,11697.003206900365,sedan,0,0,0,False
59,26-39,male,majority,10-19y,university,working class,0.5501250875743224,True,before 2015,False,False,16000.0,sedan,0,1,0,False
60,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,False,before 2015,True,True,12000.0,sedan,3,0,1,False
61,26-39,male,majority,10-19y,university,upper class,0.613826977680088,True,before 2015,True,True,8000.0,sedan,2,0,1,False
62,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,True,before 2015,True,True,7000.0,sedan,2,0,0,False
63,16-25,female,majority,0-9y,university,middle class,0.6147359485632915,True,before 2015,False,True,15000.0,sedan,0,0,0,True
64,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,True,before 2015,True,True,11697.003206900365,sedan,1,0,1,False
65,40-64,female,majority,0-9y,university,upper class,0.6137409183819416,True,before 2015,False,False,11697.003206900365,sedan,0,0,0,False
66,40-64,female,minority,10-19y,high school,working class,0.5326613280250595,True,before 2015,True,True,11000.0,sedan,0,0,0,False
67,40-64,female,minority,0-9y,university,middle class,0.4277285143019345,True,before 2015,False,False,15000.0,sedan,0,0,0,True
68,65+,male,majority,20-29y,university,upper class,0.6859457213719147,True,before 2015,True,True,5000.0,sedan,4,1,4,False
69,65+,male,majority,10-19y,university,upper class,0.6936124267187082,True,before 2015,True,True,10000.0,sedan,2,0,0,False
70,65+,male,majority,20-29y,high school,upper class,0.5979905963582334,False,before 2015,True,True,12000.0,sedan,2,1,7,True
71,26-39,male,majority,0-9y,none,poverty,0.3308186664986927,False,after 2015,True,True,12000.0,sedan,0,0,0,True
72,40-64,male,majority,20-29y,high school,working class,0.4319292841168608,True,before 2015,False,False,12000.0,sedan,5,0,7,False
73,26-39,female,minority,10-19y,none,working class,0.4319292841168608,True,before 2015,False,True,9000.0,sedan,2,0,0,False
74,16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,True,before 2015,False,True,16000.0,sedan,0,0,0,False
75,26-39,female,majority,0-9y,university,upper class,0.7641329165005233,True,before 2015,True,True,12000.0,sedan,0,0,0,False
76,40-64,female,majority,0-9y,university,middle class,0.4775169603837716,True,after 2015,True,True,14000.0,sedan,0,0,0,False
77,40-64,female,majority,20-29y,university,upper class,0.6812332078486962,True,before 2015,True,True,10000.0,sedan,0,0,1,False
78,40-64,male,majority,0-9y,university,upper class,0.4671555457007022,True,after 2015,False,False,16000.0,sedan,0,0,0,False
79,16-25,female,majority,0-9y,high school,working class,0.3941632454999797,True,before 2015,False,False,16000.0,sedan,0,0,0,True
80,40-64,female,majority,10-19y,university,upper class,0.6610607322734078,True,after 2015,True,True,14000.0,sedan,0,0,0,False
81,40-64,male,majority,20-29y,university,upper class,0.6651879748430346,False,before 2015,False,True,14000.0,sedan,2,0,1,False
82,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,True,before 2015,False,True,11000.0,sedan,0,0,0,False
83,26-39,female,majority,10-19y,university,upper class,0.7454327103696547,False,after 2015,False,False,9000.0,sedan,0,0,0,False
84,26-39,male,majority,10-19y,university,middle class,0.53257435224505,True,before 2015,True,True,13000.0,sedan,1,0,2,False
85,26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,True,after 2015,False,True,14000.0,sedan,0,0,0,False
86,16-25,female,minority,0-9y,none,poverty,0.4124517461654282,False,before 2015,False,False,14000.0,sedan,0,0,0,True
87,40-64,male,majority,20-29y,high school,working class,0.3871071449018297,False,before 2015,False,True,16000.0,sedan,0,0,6,False
88,65+,male,majority,10-19y,high school,middle class,0.5499938678343249,True,before 2015,True,True,9000.0,sedan,3,1,1,False
89,16-25,male,majority,0-9y,university,upper class,0.5853420947575604,True,before 2015,True,True,12000.0,sports car,0,0,0,True
90,65+,male,majority,30y+,none,middle class,0.5987396054343311,True,before 2015,True,True,14000.0,sedan,6,1,3,False
91,40-64,male,majority,20-29y,university,upper class,0.6026557000791793,True,after 2015,True,True,7000.0,sedan,4,0,6,False
92,26-39,female,majority,0-9y,high school,working class,0.5114570584803535,True,after 2015,True,True,11697.003206900365,sedan,0,0,0,False
93,40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,False,before 2015,False,True,15000.0,sedan,3,0,2,False
94,40-64,male,majority,10-19y,high school,working class,0.6284070137170304,False,before 2015,False,False,13000.0,sedan,0,0,0,True
95,40-64,male,majority,0-9y,high school,working class,0.5057903732571783,True,before 2015,False,True,13000.0,sedan,0,0,0,False
96,26-39,female,majority,10-19y,university,upper class,0.7268184180645275,True,before 2015,True,True,15000.0,sedan,2,0,0,False
97,65+,male,majority,20-29y,university,upper class,0.6904423335733175,True,after 2015,True,True,9000.0,sedan,8,0,2,False
98,40-64,male,majority,20-29y,university,upper class,0.4796771646619314,False,after 2015,True,False,14000.0,sedan,1,0,2,False
99,26-39,male,majority,10-19y,university,upper class,0.613826977680088,True,after 2015,True,True,11000.0,sedan,3,1,0,False
100,40-64,female,majority,20-29y,none,working class,0.4405592041968235,True,after 2015,True,True,11000.0,sedan,1,0,2,False
101,16-25,female,majority,0-9y,none,middle class,0.634052597196068,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
102,16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,False,before 2015,False,False,11697.003206900365,sedan,0,0,0,False
103,26-39,male,majority,0-9y,none,poverty,0.3086490182004943,False,before 2015,False,True,14000.0,sedan,0,0,0,False
104,16-25,male,majority,0-9y,high school,poverty,0.2458351852340737,False,before 2015,True,True,11000.0,sedan,0,0,0,True
105,16-25,male,majority,0-9y,high school,poverty,0.3056465190413162,False,before 2015,False,False,14000.0,sedan,0,0,0,True
106,26-39,male,majority,10-19y,high school,upper class,0.7440140862681482,True,before 2015,False,False,13000.0,sedan,2,0,1,False
107,40-64,male,majority,10-19y,university,upper class,0.6704645467899408,True,after 2015,True,True,14000.0,sedan,0,0,0,False
108,65+,female,majority,30y+,high school,upper class,0.6830407984824192,False,after 2015,True,True,10000.0,sedan,4,1,3,False
109,16-25,male,majority,0-9y,university,middle class,0.828628569053192,True,before 2015,False,False,13000.0,sedan,0,0,0,True
110,65+,male,majority,30y+,none,middle class,0.5236585383213972,True,before 2015,True,True,10000.0,sedan,12,2,2,False
111,65+,female,majority,30y+,high school,upper class,0.6293380939717407,True,before 2015,True,False,11000.0,sedan,2,0,2,False
112,16-25,male,majority,0-9y,high school,poverty,0.28372421050714,False,before 2015,False,True,15000.0,sedan,0,0,0,True
113,16-25,male,majority,0-9y,university,working class,0.4576486815858435,True,after 2015,False,False,14000.0,sports car,0,0,0,True
114,16-25,female,majority,0-9y,high school,poverty,0.3049876423937953,False,before 2015,False,False,15000.0,sedan,0,0,0,True
115,16-25,male,majority,0-9y,high school,working class,0.5517442884135392,False,before 2015,True,True,10000.0,sedan,0,0,0,True
116,16-25,male,minority,0-9y,none,poverty,0.3186855562451054,True,before 2015,True,False,9000.0,sedan,0,0,0,True
117,26-39,male,minority,10-19y,none,working class,0.436944194154781,True,before 2015,False,False,12000.0,sedan,3,0,0,False
118,40-64,male,majority,10-19y,university,upper class,0.6291939843221722,True,before 2015,True,True,7000.0,sedan,5,0,1,False
119,16-25,male,majority,0-9y,university,working class,0.4055600158887265,True,before 2015,False,False,17000.0,sedan,0,0,0,True
120,16-25,male,majority,0-9y,university,middle class,0.6235462115803201,True,before 2015,True,False,11000.0,sedan,0,0,0,False
121,65+,male,majority,10-19y,university,upper class,0.7270329897821235,True,before 2015,True,True,10000.0,sedan,1,1,2,False
122,65+,male,majority,20-29y,none,working class,0.426828388879915,True,before 2015,True,False,14000.0,sedan,3,1,7,False
123,26-39,female,majority,10-19y,none,middle class,0.5036589704487734,True,before 2015,False,True,10000.0,sedan,1,2,0,False
124,26-39,female,majority,10-19y,high school,middle class,0.5236585383213972,False,before 2015,False,False,12000.0,sedan,2,0,0,False
125,65+,male,majority,30y+,university,upper class,0.7264400018455291,True,after 2015,True,True,7000.0,sedan,2,0,3,False
126,16-25,female,majority,0-9y,none,poverty,0.2444900931240796,False,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
127,16-25,male,majority,0-9y,university,middle class,0.5757707974509628,True,before 2015,False,False,11000.0,sedan,0,0,0,True
128,16-25,male,majority,0-9y,high school,poverty,0.34833133094379165,False,before 2015,False,False,10000.0,sports car,0,0,0,True
129,16-25,male,majority,0-9y,university,working class,0.468671965728324,True,after 2015,False,True,9000.0,sedan,0,0,0,True
130,65+,male,majority,20-29y,university,upper class,0.6970834558464781,False,after 2015,False,True,13000.0,sedan,3,0,2,False
131,40-64,female,majority,20-29y,high school,working class,0.5429181079423034,True,before 2015,False,False,15000.0,sedan,1,1,0,False
132,65+,male,majority,30y+,high school,upper class,0.6722562535141292,True,before 2015,True,True,9000.0,sedan,4,1,2,False
133,16-25,male,majority,0-9y,none,poverty,0.3864066185703315,False,before 2015,False,False,8000.0,sedan,0,0,0,True
134,16-25,male,majority,0-9y,university,middle class,0.5512978330713669,True,before 2015,True,True,12000.0,sedan,0,0,0,True
135,40-64,male,majority,20-29y,high school,middle class,0.5985570254244251,False,after 2015,True,False,14000.0,sedan,4,1,4,False
136,26-39,female,majority,10-19y,none,working class,0.4319292841168608,False,before 2015,True,True,11697.003206900365,sedan,0,0,1,False
137,40-64,female,majority,20-29y,high school,upper class,0.5824219946087406,True,after 2015,True,True,11000.0,sedan,2,0,1,False
138,26-39,female,minority,10-19y,high school,middle class,0.540182723180248,True,before 2015,True,True,11697.003206900365,sedan,0,0,1,False
139,65+,male,majority,20-29y,university,upper class,0.6330139475122963,True,after 2015,False,True,14000.0,sedan,3,1,4,False
140,40-64,male,majority,20-29y,high school,middle class,0.552204630296896,True,after 2015,True,False,12000.0,sedan,6,0,3,False
141,26-39,female,majority,0-9y,university,middle class,0.3266816101781183,False,before 2015,False,False,16000.0,sedan,0,0,0,True
142,40-64,male,minority,20-29y,high school,middle class,0.5880825424047316,True,before 2015,True,True,13000.0,sedan,7,1,1,False
143,65+,female,majority,0-9y,university,upper class,0.7022748020975709,False,before 2015,True,True,10000.0,sedan,0,0,0,True
144,65+,female,majority,0-9y,university,upper class,0.7266055391975765,True,before 2015,False,True,13000.0,sedan,0,0,0,False
145,26-39,male,majority,10-19y,university,working class,0.4319292841168608,False,before 2015,True,True,12000.0,sedan,3,2,3,True
146,65+,male,majority,30y+,university,upper class,0.73238212135242,True,before 2015,True,True,12000.0,sedan,5,1,5,False
147,16-25,female,majority,0-9y,none,poverty,0.2012839211827758,True,before 2015,False,False,12000.0,sedan,0,0,0,True
148,26-39,male,majority,10-19y,university,middle class,0.4641607076311848,False,before 2015,False,False,16000.0,sedan,0,1,0,False
149,40-64,female,majority,20-29y,university,upper class,0.6579677428053038,True,after 2015,True,False,13000.0,sedan,1,0,1,False
150,65+,male,majority,30y+,university,upper class,0.6002161554309658,True,before 2015,True,True,13000.0,sedan,5,2,4,False
151,65+,male,majority,30y+,university,upper class,0.6663760181644964,True,after 2015,True,True,12000.0,sedan,3,0,7,False
152,26-39,male,majority,0-9y,high school,working class,0.4031472802313768,True,before 2015,True,True,10000.0,sedan,0,0,0,False
153,65+,male,majority,20-29y,university,upper class,0.4169350441301069,True,before 2015,False,True,13000.0,sedan,5,1,5,False
154,65+,female,majority,30y+,none,upper class,0.5948797136778915,True,before 2015,True,True,8000.0,sports car,10,0,1,False
155,26-39,male,minority,10-19y,none,poverty,0.3804265034620669,False,before 2015,True,True,16000.0,sedan,1,0,1,False
156,16-25,female,majority,0-9y,none,poverty,0.34833133094379165,False,before 2015,False,False,14000.0,sedan,0,0,0,True
157,65+,female,majority,30y+,university,upper class,0.680617632406099,True,before 2015,True,True,12000.0,sedan,1,2,2,False
158,40-64,male,minority,0-9y,high school,working class,0.3559504699938693,True,before 2015,False,True,16000.0,sedan,0,0,0,True
159,40-64,female,majority,10-19y,none,middle class,0.5236585383213972,True,before 2015,False,True,10000.0,sedan,2,0,0,False
160,65+,female,minority,30y+,high school,upper class,0.587831426389767,True,after 2015,True,False,11697.003206900365,sports car,3,0,1,False
161,65+,female,majority,10-19y,university,upper class,0.5733880426029547,True,after 2015,True,True,10000.0,sedan,0,0,2,False
162,16-25,male,majority,0-9y,university,middle class,0.2964062828237805,True,before 2015,False,False,13000.0,sedan,0,0,0,True
163,65+,male,majority,10-19y,university,upper class,0.4295096986208441,True,before 2015,True,True,10000.0,sedan,1,0,4,False
164,65+,female,majority,30y+,university,upper class,0.6885687186194461,True,after 2015,False,True,11000.0,sedan,2,0,0,False
165,65+,female,majority,20-29y,university,upper class,0.700017431968704,True,after 2015,False,True,13000.0,sedan,1,0,1,False
166,26-39,male,majority,10-19y,university,working class,0.4495886310379405,False,before 2015,False,True,11697.003206900365,sports car,0,0,1,True
167,40-64,female,majority,20-29y,university,upper class,0.6900455818778344,True,after 2015,True,False,11000.0,sedan,2,1,1,False
168,40-64,female,minority,10-19y,university,working class,0.4960298730510012,True,after 2015,False,False,13000.0,sedan,0,0,1,False
169,26-39,male,majority,10-19y,university,upper class,0.6563457625165399,False,after 2015,True,True,6000.0,sedan,8,0,0,False
170,40-64,male,majority,0-9y,high school,middle class,0.4983566259941653,True,after 2015,False,True,12000.0,sedan,0,0,0,False
171,16-25,female,majority,0-9y,university,middle class,0.5463825431033477,True,before 2015,True,True,12000.0,sedan,0,0,0,False
172,40-64,female,majority,10-19y,high school,working class,0.3158628767091658,True,before 2015,False,True,11000.0,sedan,0,0,1,False
173,26-39,male,majority,10-19y,none,working class,0.5300643171181573,True,before 2015,False,False,11697.003206900365,sedan,1,0,2,True
174,26-39,female,majority,10-19y,high school,working class,0.3578391720711443,True,before 2015,False,True,12000.0,sedan,1,0,0,True
175,65+,male,majority,10-19y,university,upper class,0.672756052841708,True,after 2015,True,True,9000.0,sedan,1,0,2,False
176,40-64,male,majority,20-29y,university,upper class,0.7419993760301162,True,after 2015,False,True,11697.003206900365,sedan,2,0,2,False
177,65+,female,majority,30y+,university,upper class,0.6226519789949738,True,after 2015,True,True,11000.0,sedan,1,0,0,False
178,16-25,female,majority,0-9y,high school,middle class,0.4801406677163008,False,after 2015,False,False,14000.0,sedan,0,0,0,True
179,65+,male,majority,30y+,university,upper class,0.6787954309829434,True,after 2015,True,True,11000.0,sedan,5,1,3,False
180,65+,male,majority,30y+,university,upper class,0.613826977680088,True,before 2015,True,True,10000.0,sedan,13,1,6,False
181,40-64,female,majority,20-29y,university,upper class,0.5152467080125883,True,after 2015,False,True,12000.0,sedan,2,0,1,False
182,26-39,male,majority,10-19y,none,working class,0.4899205986325767,True,before 2015,False,True,13000.0,sedan,3,0,1,False
183,65+,male,majority,30y+,high school,middle class,0.4219579486132668,True,before 2015,False,True,11000.0,sedan,4,0,6,False
184,40-64,male,majority,20-29y,university,upper class,0.5843548496662949,True,before 2015,False,False,11697.003206900365,sedan,1,0,2,False
185,16-25,male,majority,0-9y,none,poverty,0.34833133094379165,False,before 2015,False,False,9000.0,sedan,0,0,0,True
186,65+,female,majority,30y+,high school,upper class,0.5581569698935803,True,after 2015,False,True,14000.0,sedan,0,0,0,False
187,16-25,male,majority,0-9y,high school,poverty,0.19414954837432,False,before 2015,True,False,12000.0,sports car,0,0,0,True
188,16-25,male,majority,0-9y,high school,poverty,0.3004973303903779,False,before 2015,False,False,13000.0,sedan,0,0,0,True
189,40-64,female,majority,20-29y,university,upper class,0.6670906918498556,True,after 2015,True,True,7000.0,sedan,4,0,0,False
190,40-64,male,majority,0-9y,high school,upper class,0.6130724079074048,True,before 2015,True,False,11697.003206900365,sedan,0,0,0,True
191,40-64,male,majority,10-19y,university,upper class,0.613826977680088,True,after 2015,True,False,11000.0,sedan,3,0,2,False
192,26-39,male,minority,10-19y,high school,middle class,0.5952817629709132,True,before 2015,True,True,8000.0,sedan,1,0,1,False
193,26-39,male,majority,0-9y,none,poverty,0.3482357882933829,False,before 2015,True,True,7000.0,sedan,0,0,0,True
194,26-39,male,majority,10-19y,high school,working class,0.3566396714745861,True,after 2015,True,True,8000.0,sedan,3,0,1,False
195,26-39,female,majority,10-19y,none,working class,0.3486591269429803,False,before 2015,True,False,12000.0,sedan,0,0,0,True
196,40-64,male,majority,0-9y,high school,middle class,0.5594684860915574,True,before 2015,False,True,12000.0,sedan,0,0,0,True
197,16-25,male,majority,0-9y,high school,poverty,0.514483730987584,False,before 2015,False,False,12000.0,sedan,0,0,0,True
198,40-64,female,majority,20-29y,university,upper class,0.5626384060668865,True,after 2015,False,True,13000.0,sedan,2,1,0,False
199,40-64,male,majority,20-29y,university,middle class,0.5717246252857962,True,before 2015,False,True,15000.0,sedan,2,2,1,False
200,65+,female,majority,30y+,university,upper class,0.6510078690171576,True,after 2015,True,True,12000.0,sedan,5,0,2,False
201,16-25,male,majority,0-9y,university,working class,0.3707348173567914,True,before 2015,False,False,12000.0,sedan,0,0,0,True
202,16-25,male,majority,0-9y,high school,poverty,0.3051450776813433,True,before 2015,False,False,14000.0,sedan,0,0,0,False
203,26-39,male,majority,10-19y,university,upper class,0.5744144216758436,True,before 2015,False,False,11697.003206900365,sedan,2,0,5,True
204,26-39,female,majority,10-19y,university,middle class,0.4500145680826032,True,before 2015,False,True,13000.0,sedan,1,0,1,False
205,26-39,male,majority,10-19y,university,upper class,0.6364490959261638,True,before 2015,True,True,11697.003206900365,sedan,0,1,4,False
206,65+,male,majority,30y+,university,upper class,0.4576717029360895,False,before 2015,True,True,11697.003206900365,sedan,4,0,8,False
207,26-39,female,minority,0-9y,high school,poverty,0.3357473732007096,False,before 2015,False,True,15000.0,sedan,0,0,0,True
208,26-39,female,majority,10-19y,none,poverty,0.3186947648911332,False,before 2015,False,True,11697.003206900365,sports car,1,2,0,False
209,26-39,male,majority,10-19y,university,upper class,0.5578403271955679,True,after 2015,True,True,10000.0,sedan,2,0,0,False
210,16-25,female,majority,0-9y,none,working class,0.1924274124285441,False,before 2015,False,True,11000.0,sedan,0,0,0,True
211,26-39,male,majority,10-19y,university,working class,0.3528243251354439,False,before 2015,True,True,11000.0,sports car,6,1,3,True
212,65+,female,majority,0-9y,university,upper class,0.647569234863379,False,after 2015,True,True,11000.0,sedan,0,0,0,True
213,16-25,female,majority,0-9y,high school,middle class,0.4572362634438549,True,after 2015,False,False,10000.0,sedan,0,0,0,False
214,26-39,male,majority,10-19y,none,middle class,0.5042469291759577,True,before 2015,False,True,13000.0,sedan,0,0,1,False
215,16-25,male,majority,0-9y,high school,poverty,0.3749625006784157,True,before 2015,False,True,15000.0,sedan,0,0,0,True
216,16-25,female,majority,0-9y,university,upper class,0.6603156212983624,True,before 2015,False,True,11000.0,sports car,0,0,0,False
217,40-64,female,majority,20-29y,high school,upper class,0.4169178873741152,True,before 2015,False,True,12000.0,sedan,3,0,0,False
218,26-39,female,majority,10-19y,high school,upper class,0.6350840347750659,True,before 2015,True,False,17000.0,sedan,0,1,0,False
219,26-39,male,majority,10-19y,high school,middle class,0.4049288507406456,True,before 2015,True,True,11000.0,sedan,2,0,0,False
220,40-64,female,majority,20-29y,high school,upper class,0.4956283926329951,False,after 2015,True,False,11000.0,sedan,2,0,0,False
221,16-25,male,majority,0-9y,none,poverty,0.3921778349659278,False,before 2015,True,False,11697.003206900365,sedan,0,0,0,True
222,40-64,female,majority,10-19y,high school,upper class,0.5149450496137513,True,after 2015,True,True,11000.0,sedan,0,0,2,False
223,65+,male,majority,30y+,university,upper class,0.5032225392796313,True,after 2015,True,True,9000.0,sedan,6,2,10,False
224,26-39,female,majority,10-19y,university,upper class,0.7140339031205747,True,before 2015,True,True,11000.0,sedan,0,0,0,True
225,26-39,male,majority,10-19y,high school,working class,0.3670512395145257,False,before 2015,True,False,14000.0,sedan,1,0,1,True
226,40-64,female,majority,20-29y,high school,middle class,0.5793929043624154,True,before 2015,False,False,13000.0,sedan,2,0,0,False
227,40-64,female,majority,20-29y,high school,middle class,0.5584702236402418,True,before 2015,False,True,10000.0,sedan,1,0,4,False
228,16-25,female,majority,0-9y,high school,working class,0.2919776582051944,False,before 2015,False,True,12000.0,sedan,0,0,0,True
229,40-64,female,majority,20-29y,high school,middle class,0.6615841421190086,True,before 2015,False,True,12000.0,sedan,5,0,0,False
230,16-25,female,majority,0-9y,none,poverty,0.3788290288330991,False,before 2015,False,False,17000.0,sedan,0,0,0,True
231,16-25,female,minority,0-9y,high school,poverty,0.3740705590179875,True,before 2015,False,False,15000.0,sedan,0,0,0,True
232,40-64,male,majority,20-29y,university,upper class,0.613826977680088,True,before 2015,False,False,13000.0,sedan,3,1,2,False
233,65+,male,majority,30y+,university,upper class,0.4593785751523136,True,before 2015,True,True,13000.0,sedan,1,0,5,False
