total.cost,lot.sale.days,overage,mileage,vehicle.type,domestic.import,vehicle.age,vehicle.age.group,color.set,makex,state,make.model
3823,168,YES,35985,FAMILY.MEDIUM,Domestic,7,SEVEN+,PURPLE,PLYMOUTH,FL,PLYMOUTH.ACCLAIM
6340,114,YES,95061,LUXURY,Import,4,FOUR,GOLD,NISSAN,CA,NISSAN.ALTIMA
4775,163,YES,90695,FAMILY.SMALL,Import,6,SIX,WHITE,GEO,AZ,GEO.PRIZM
5867,215,YES,97043,FAMILY.LARGE,Domestic,5,FIVE,GREEN,CHRYSLER,AZ,CHRYSLER.LHS
4247,295,YES,87025,LUXURY,Import,8,SEVEN+,PURPLE,NISSAN,VA,NISSAN.SENTRA
6290,120,YES,72372,FAMILY.MEDIUM,Domestic,8,SEVEN+,GOLD,BUICK,FL,BUICK.PARK AVENUE
4904,114,YES,67800,ECONOMY,Domestic,5,FIVE,BLUE,PLYMOUTH,GA,PLYMOUTH.NEON
4851,98,YES,100399,FAMILY.MEDIUM,Domestic,7,SEVEN+,PURPLE,BUICK,GA,BUICK.REGAL
5247,127,YES,86308,ECONOMY,Import,4,FOUR,WHITE,TOYOTA,TX,TOYOTA.TERCEL
5294,135,YES,63977,ECONOMY,Domestic,5,FIVE,GREEN,FORD,FL,FORD.ESCORT
5225,134,YES,74945,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,OLDSMOBILE,GA,OLDSMOBILE.CIERA
4349,209,YES,70533,FAMILY.MEDIUM,Domestic,8,SEVEN+,SILVER,CHRYSLER,NM,CHRYSLER.LEBARON
4680,101,YES,101891,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,BUICK,GA,BUICK.REGAL
4194,195,YES,116968,ECONOMY,Import,7,SEVEN+,PURPLE,NISSAN,TX,NISSAN.SENTRA
6155,150,YES,91204,LUXURY,Import,9,SEVEN+,PURPLE,HONDA,GA,HONDA.ACCORD
5254,91,YES,86852,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLUE,OLDSMOBILE,GA,OLDSMOBILE.98
3785,98,YES,110921,FAMILY.MEDIUM,Domestic,8,SEVEN+,SILVER,BUICK,AZ,BUICK.CENTURY
7571,123,YES,80541,FAMILY.MEDIUM,Import,3,ONE-THREE,SILVER,HYUNDAI,TX,HYUNDAI.SONATA
4569,138,YES,84313,LUXURY,Domestic,7,SEVEN+,WHITE,FORD,CA,FORD.TAURUS
5675,232,YES,79781,FAMILY.MEDIUM,Domestic,6,SIX,RED,BUICK,FL,BUICK.SKYLARK
5562,244,YES,73461,FAMILY.SMALL,Import,5,FIVE,GREEN,HYUNDAI,CA,HYUNDAI.ACCENT
4540,100,YES,76566,ECONOMY,Domestic,5,FIVE,GREEN,FORD,CA,FORD.ESCORT
5713,117,YES,70121,FAMILY.LARGE,Domestic,6,SIX,GOLD,BUICK,TX,BUICK.LESABRE
6337,109,YES,18591,FAMILY.MEDIUM,Import,1,ONE-THREE,WHITE,DAEWOO,FL,DAEWOO.LANOS
3105,205,YES,69733,ECONOMY,Domestic,7,SEVEN+,BLUE,CHEVROLET,FL,CHEVROLET.CAVALIER
6530,103,YES,71210,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,BUICK,CA,BUICK.CENTURY
6026,108,YES,66031,FAMILY.LARGE,Domestic,5,FIVE,PURPLE,CHEVROLET,GA,CHEVROLET.LUMINA
5260,101,YES,18376,ECONOMY,Domestic,2,ONE-THREE,BLUE,FORD,TX,FORD.ESCORT
4711,103,YES,75057,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,BUICK,CA,BUICK.CENTURY
4958,98,YES,106075,FAMILY.LARGE,Domestic,6,SIX,RED,BUICK,CA,BUICK.REGAL
3656,94,YES,80835,FAMILY.SMALL,Import,7,SEVEN+,GREEN,GEO,AZ,GEO.PRIZM
5786,112,YES,93859,FAMILY.LARGE,Domestic,9,SEVEN+,BLUE,OLDSMOBILE,VA,OLDSMOBILE.88
5256,172,YES,51645,ECONOMY,Import,3,ONE-THREE,WHITE,KIA,GA,KIA.SEPHIA
6798,119,YES,63535,FAMILY.MEDIUM,Domestic,4,FOUR,WHITE,CHEVROLET,FL,CHEVROLET.LUMINA
4318,108,YES,86046,ECONOMY,Import,6,SIX,WHITE,TOYOTA,CA,TOYOTA.TERCEL
5035,111,YES,83222,FAMILY.LARGE,Domestic,7,SEVEN+,BLACK,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
5303,100,YES,75419,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,OLDSMOBILE,AZ,OLDSMOBILE.CUTLASS SUPREME
4802,93,YES,99853,FAMILY.LARGE,Domestic,8,SEVEN+,WHITE,CHEVROLET,TX,CHEVROLET.LUMINA
5382,105,YES,101311,FAMILY.SMALL,Domestic,4,FOUR,GREEN,BUICK,TX,BUICK.SKYLARK
4382,114,YES,81401,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,CHEVROLET,TX,CHEVROLET.CORSICA
4264,136,YES,73027,ECONOMY,Import,5,FIVE,BLACK,GEO,TX,GEO.METRO
5640,148,YES,48841,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,CA,OLDSMOBILE.CIERA
5313,122,YES,89707,LUXURY,Import,6,SIX,GOLD,NISSAN,FL,NISSAN.ALTIMA
6396,98,YES,76624,FAMILY.SMALL,Import,7,SEVEN+,RED,TOYOTA,CA,TOYOTA.COROLLA
3492,173,YES,83126,FAMILY.MEDIUM,Domestic,10,SEVEN+,GOLD,CHRYSLER,CA,CHRYSLER.LEBARON
2880,204,YES,69008,ECONOMY,Domestic,8,SEVEN+,BLUE,FORD,TX,FORD.ESCORT
5129,122,YES,81103,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5876,141,YES,80180,FAMILY.LARGE,Domestic,4,FOUR,WHITE,CHEVROLET,GA,CHEVROLET.LUMINA
4695,121,YES,91141,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,CHEVROLET,FL,CHEVROLET.LUMINA
4425,99,YES,53797,FAMILY.SMALL,Import,4,FOUR,GOLD,GEO,CA,GEO.METRO
6321,120,YES,77867,FAMILY.LARGE,Domestic,6,SIX,WHITE,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
3920,166,YES,93226,ECONOMY,Domestic,7,SEVEN+,SILVER,PLYMOUTH,NM,PLYMOUTH.ACCLAIM
4018,97,YES,73504,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,CA,OLDSMOBILE.CIERA
4606,127,YES,89814,FAMILY.MEDIUM,Domestic,8,SEVEN+,GOLD,OLDSMOBILE,VA,OLDSMOBILE.CIERA
4741,172,YES,90815,FAMILY.SMALL,Domestic,7,SEVEN+,BLUE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5304,100,YES,99597,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS SUPREME
6739,106,YES,94011,FAMILY.SMALL,Domestic,4,FOUR,PURPLE,PONTIAC,NV,PONTIAC.GRAND AM
5114,102,YES,73473,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,CHEVROLET,FL,CHEVROLET.LUMINA
5154,102,YES,95565,FAMILY.LARGE,Domestic,7,SEVEN+,WHITE,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
4173,181,YES,98159,ECONOMY,Import,6,SIX,RED,TOYOTA,AZ,TOYOTA.TERCEL
5382,109,YES,71305,FAMILY.LARGE,Domestic,5,FIVE,GOLD,BUICK,GA,BUICK.CENTURY
4967,99,YES,82233,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,FORD,TX,FORD.TAURUS
4876,244,YES,86072,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5617,98,YES,94584,LUXURY,Import,6,SIX,PURPLE,NISSAN,CA,NISSAN.ALTIMA
4055,209,YES,101977,ECONOMY,Domestic,6,SIX,WHITE,FORD,NM,FORD.ESCORT
6117,97,YES,56116,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,DODGE,CA,DODGE.STRATUS
5468,117,YES,90183,FAMILY.MEDIUM,Domestic,4,FOUR,BLACK,CHEVROLET,TX,CHEVROLET.LUMINA
4707,255,YES,71026,FAMILY.SMALL,Domestic,6,SIX,RED,FORD,CA,FORD.ESCORT
4917,240,YES,71533,ECONOMY,Domestic,6,SIX,WHITE,MERCURY,NM,MERCURY.TRACER
4212,130,YES,77199,FAMILY.SMALL,Import,5,FIVE,BLUE,GEO,AZ,GEO.PRIZM
5287,99,YES,96679,LUXURY,Import,5,FIVE,BLUE,MAZDA,FL,MAZDA.PROTEGE
6015,147,YES,96454,LUXURY,Import,5,FIVE,GREEN,NISSAN,TX,NISSAN.SENTRA
3503,171,YES,83819,ECONOMY,Domestic,8,SEVEN+,PURPLE,FORD,FL,FORD.TEMPO
4802,105,YES,78762,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5385,91,YES,91499,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,OLDSMOBILE,TX,OLDSMOBILE.88
5588,118,YES,100045,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,BUICK,FL,BUICK.REGAL
6736,102,YES,96715,LUXURY,Import,7,SEVEN+,SILVER,TOYOTA,AZ,TOYOTA.CAMRY
6189,98,YES,72133,ECONOMY,Import,5,FIVE,BLACK,TOYOTA,CA,TOYOTA.TERCEL
6470,101,YES,74873,FAMILY.LARGE,Domestic,6,SIX,WHITE,FORD,CA,FORD.CROWN VICTORIA
5133,107,YES,84787,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,CHEVROLET,FL,CHEVROLET.LUMINA
7591,122,YES,97309,LUXURY,Import,7,SEVEN+,WHITE,TOYOTA,NV,TOYOTA.CAMRY
5105,114,YES,92694,FAMILY.LARGE,Domestic,6,SIX,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
5746,94,YES,70881,FAMILY.LARGE,Domestic,5,FIVE,PURPLE,CHEVROLET,TX,CHEVROLET.LUMINA
5626,143,YES,88024,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,CA,FORD.CONTOUR
6020,100,YES,100981,FAMILY.LARGE,Domestic,9,SEVEN+,BLUE,BUICK,CA,BUICK.LESABRE
6129,91,YES,51200,FAMILY.SMALL,Import,6,SIX,GREEN,TOYOTA,CA,TOYOTA.TERCEL
5358,127,YES,60383,FAMILY.SMALL,Domestic,4,FOUR,WHITE,FORD,CA,FORD.ESCORT
5069,117,YES,79253,ECONOMY,Domestic,5,FIVE,WHITE,DODGE,GA,DODGE.NEON
6225,265,YES,82315,FAMILY.SMALL,Domestic,5,FIVE,PURPLE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
3760,93,YES,77249,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,CA,OLDSMOBILE.CIERA
4005,114,YES,95198,FAMILY.MEDIUM,Domestic,6,SIX,PURPLE,BUICK,FL,BUICK.SKYLARK
3523,153,YES,73046,ECONOMY,Domestic,7,SEVEN+,PURPLE,CHEVROLET,VA,CHEVROLET.CAVALIER
5156,109,YES,72888,FAMILY.MEDIUM,Domestic,5,FIVE,GOLD,BUICK,AZ,BUICK.CENTURY
4414,123,YES,82790,LUXURY,Import,6,SIX,WHITE,MAZDA,FL,MAZDA.PROTEGE
4851,91,YES,65390,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,NV,OLDSMOBILE.CIERA
4268,181,YES,95090,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,OLDSMOBILE,NM,OLDSMOBILE.CIERA
5493,113,YES,80200,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,PONTIAC,VA,PONTIAC.GRAND PRIX
6365,122,YES,85602,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,BUICK,TX,BUICK.REGAL
3525,253,YES,74762,FAMILY.MEDIUM,Domestic,9,SEVEN+,BLUE,FORD,VA,FORD.TEMPO
7276,94,YES,89002,FAMILY.LARGE,Domestic,7,SEVEN+,BLACK,OTHER,NV,LINCOLN.TOWN CAR
5223,101,YES,87460,ECONOMY,Import,5,FIVE,BLACK,TOYOTA,CA,TOYOTA.TERCEL
4399,112,YES,79700,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,CHEVROLET,VA,CHEVROLET.LUMINA
4909,95,YES,79219,FAMILY.MEDIUM,Domestic,5,FIVE,RED,OLDSMOBILE,AZ,OLDSMOBILE.CIERA
4342,103,YES,88275,ECONOMY,Domestic,5,FIVE,WHITE,CHEVROLET,NM,CHEVROLET.CORSICA
4418,112,YES,55183,FAMILY.LARGE,Domestic,6,SIX,GREEN,BUICK,GA,BUICK.CENTURY
3383,243,YES,91265,FAMILY.SMALL,Domestic,8,SEVEN+,BLUE,FORD,CA,FORD.ESCORT
3939,195,YES,105873,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,PONTIAC,CA,PONTIAC.GRAND PRIX
5477,224,YES,83730,FAMILY.SMALL,Import,9,SEVEN+,BLUE,TOYOTA,TX,TOYOTA.COROLLA
6052,109,YES,102157,LUXURY,Import,7,SEVEN+,WHITE,TOYOTA,FL,TOYOTA.CAMRY
5576,97,YES,69604,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,FORD,FL,FORD.TAURUS
5636,93,YES,67887,FAMILY.LARGE,Domestic,4,FOUR,GREEN,OLDSMOBILE,CA,OLDSMOBILE.ACHIEVA
5772,93,YES,95183,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,OLDSMOBILE,TX,OLDSMOBILE.CIERA
6178,111,YES,84614,ECONOMY,Import,5,FIVE,GREEN,TOYOTA,CA,TOYOTA.TERCEL
5919,119,YES,108248,FAMILY.SMALL,Import,7,SEVEN+,SILVER,TOYOTA,AZ,TOYOTA.COROLLA
4124,142,YES,70394,ECONOMY,Import,5,FIVE,WHITE,GEO,VA,GEO.METRO
4798,95,YES,89055,FAMILY.LARGE,Domestic,9,SEVEN+,PURPLE,OLDSMOBILE,GA,OLDSMOBILE.88
3890,213,YES,87395,ECONOMY,Domestic,8,SEVEN+,GREEN,PLYMOUTH,NM,PLYMOUTH.ACCLAIM
3785,197,YES,88330,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,OLDSMOBILE,NM,OLDSMOBILE.CIERA
4190,108,YES,72155,ECONOMY,Import,5,FIVE,GOLD,HYUNDAI,FL,HYUNDAI.ACCENT
3620,142,YES,100939,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,CHRYSLER,NM,CHRYSLER.LEBARON
4631,102,YES,75283,FAMILY.SMALL,Domestic,5,FIVE,BLUE,CHEVROLET,FL,CHEVROLET.CAVALIER
4684,140,YES,70491,ECONOMY,Domestic,6,SIX,BLUE,CHEVROLET,NV,CHEVROLET.CORSICA
4653,94,YES,80408,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5013,249,YES,77658,FAMILY.MEDIUM,Import,6,SIX,WHITE,OTHER,AZ,SUZUKI.ESTEEM
5317,91,YES,88314,FAMILY.SMALL,Import,4,FOUR,GOLD,TOYOTA,GA,TOYOTA.COROLLA
6301,147,YES,103529,LUXURY,Import,4,FOUR,PURPLE,NISSAN,GA,NISSAN.ALTIMA
4733,158,YES,103883,FAMILY.SMALL,Domestic,5,FIVE,GOLD,OLDSMOBILE,TX,OLDSMOBILE.CIERA
3438,140,YES,88581,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,VA,OLDSMOBILE.CIERA
5453,110,YES,69843,FAMILY.SMALL,Domestic,4,FOUR,RED,CHEVROLET,GA,CHEVROLET.CAVALIER
5201,113,YES,99261,FAMILY.LARGE,Domestic,6,SIX,WHITE,OLDSMOBILE,GA,OLDSMOBILE.88
4902,141,YES,88503,ECONOMY,Domestic,6,SIX,GREEN,DODGE,GA,DODGE.NEON
5916,95,YES,65027,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,OLDSMOBILE,FL,OLDSMOBILE.CUTLASS SUPREME
4757,96,YES,83352,LUXURY,Import,5,FIVE,SILVER,NISSAN,FL,NISSAN.SENTRA
4028,225,YES,97789,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,PONTIAC,CA,PONTIAC.GRAND AM
4934,174,YES,38592,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,DODGE,VA,DODGE.DYNASTY
5484,93,YES,76580,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,CHEVROLET,NV,CHEVROLET.LUMINA
4437,105,YES,77049,FAMILY.LARGE,Domestic,9,SEVEN+,WHITE,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
4706,99,YES,59700,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,PLYMOUTH,AZ,PLYMOUTH.NEON
4696,135,YES,49098,ECONOMY,Import,5,FIVE,RED,KIA,TX,KIA.SEPHIA
3483,132,YES,92388,FAMILY.LARGE,Domestic,8,SEVEN+,WHITE,CHEVROLET,CA,CHEVROLET.LUMINA
4249,213,YES,96907,ECONOMY,Import,7,SEVEN+,GREEN,NISSAN,TX,NISSAN.SENTRA
4222,173,YES,90588,ECONOMY,Domestic,8,SEVEN+,BLUE,CHEVROLET,VA,CHEVROLET.CORSICA
5640,106,YES,85132,FAMILY.LARGE,Domestic,6,SIX,BLUE,BUICK,AZ,BUICK.LESABRE
2954,101,YES,115427,FAMILY.SMALL,Import,12,SEVEN+,GOLD,MAZDA,VA,MAZDA.626
6055,104,YES,82758,FAMILY.MEDIUM,Domestic,4,FOUR,BLUE,BUICK,AZ,BUICK.CENTURY
3782,278,YES,78669,ECONOMY,Domestic,7,SEVEN+,BLUE,PONTIAC,VA,PONTIAC.SUNBIRD
5741,273,YES,94227,ECONOMY,Domestic,6,SIX,WHITE,DODGE,GA,DODGE.NEON
4902,109,YES,77574,FAMILY.SMALL,Domestic,7,SEVEN+,WHITE,PONTIAC,NV,PONTIAC.GRAND AM
6071,121,YES,84266,LUXURY,Domestic,4,FOUR,SILVER,DODGE,AZ,DODGE.INTREPID
4696,182,YES,80089,FAMILY.LARGE,Domestic,6,SIX,RED,CHEVROLET,AZ,CHEVROLET.LUMINA
4539,135,YES,103799,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,OLDSMOBILE,TX,OLDSMOBILE.ACHIEVA
4494,92,YES,59890,FAMILY.SMALL,Import,5,FIVE,WHITE,GEO,TX,GEO.PRIZM
6614,133,YES,71658,FAMILY.SMALL,Domestic,4,FOUR,GREEN,PONTIAC,FL,PONTIAC.GRAND AM
4075,138,YES,61464,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,CHRYSLER,TX,CHRYSLER.LEBARON
6351,113,YES,86806,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,MERCURY,AZ,MERCURY.SABLE
4328,99,YES,104787,LUXURY,Domestic,7,SEVEN+,WHITE,PONTIAC,CA,PONTIAC.BONNEVILLE
6750,115,YES,103336,FAMILY.LARGE,Domestic,5,FIVE,PURPLE,CHEVROLET,TX,CHEVROLET.LUMINA
4288,197,YES,79264,ECONOMY,Domestic,7,SEVEN+,WHITE,FORD,TX,FORD.ESCORT
